author,category,difficulty,duration,link,name,rating
Pierre Derenoncourt,architecture-construction,Beginner,1h 18m,https://www.pluralsight.com:443/courses/introduction-revit-2014-1317,Introduction to Revit 2014,
Nathan Eliason,architecture-construction,Beginner,2h 14m,https://www.pluralsight.com:443/courses/autodesk-factory-design-utilities-introduction,Introduction to Autodesk Factory Design Utilities,
Harriet Eldred,architecture-construction,Beginner,3h 37m,https://www.pluralsight.com:443/courses/revit-structural-engineers-introduction,Introduction to Revit for Structural Engineers,
Pierre Derenoncourt,architecture-construction,Beginner,1h 4m,https://www.pluralsight.com:443/courses/introduction-3d-modeling-autocad-1539,Introduction to 3D Modeling in AutoCAD,
Pierre Derenoncourt,architecture-construction,Beginner,3h 51m,https://www.pluralsight.com:443/courses/introduction-revit-architecture-2016-2204,Introduction to Revit Architecture 2016,
Eric DeLeon,architecture-construction,Beginner,3h 42m,https://www.pluralsight.com:443/courses/infraworks-360-introduction,Introduction to InfraWorks 360,
Pierre Derenoncourt,architecture-construction,Beginner,2h 28m,https://www.pluralsight.com:443/courses/introduction-autocad-1703,Introduction to AutoCAD,
Filip Ekberg,c-sharp,Intermediate,1h 23m,https://www.pluralsight.com:443/courses/c-sharp-design-patterns-data-access-patterns,C# Design Patterns: Data Access Patterns,
Bryan Hansen,software-development,Intermediate,1h 54m,https://www.pluralsight.com:443/courses/design-patterns-java-creational,Design Patterns in Java: Creational,
Richard Warburton,software-development,Beginner,3h 53m,https://www.pluralsight.com:443/courses/java-testing-introduction,Introduction to Testing in Java,
Neven Mrgan,mobile-development,Beginner,1h 46m,https://www.pluralsight.com:443/courses/play-by-play-neven-mrgan,Play by Play: Mobile UI Design with Neven Mrgan,
,python,Beginner,2h 36m,https://www.pluralsight.com:443/courses/map-server-gdal-creating-geospatial-maps,Creating Geospatial Maps with MapServer and GDAL,
Gary Grudzinskas,servers,Intermediate,2h 9m,https://www.pluralsight.com:443/courses/microsoft-azure-backup-implementing,Implementing Microsoft Azure Backup,
Jonathan Mills,node-js,Beginner,1h 18m,https://www.pluralsight.com:443/courses/mongodb-nodejs,Using MongoDB with Node.js,
,manufacturing-design,Intermediate,2h 7m,https://www.pluralsight.com:443/courses/fusion-360-zbrush-iterative-design,Fusion 360 and ZBrush for Iterative Design,
Bill Kulterman,servers,Intermediate,2h 54m,https://www.pluralsight.com:443/courses/sharepoint-2016-on-prem-install,On-premises Installation of SharePoint 2016,
Mike Pfeiffer,servers,Beginner,2h 48m,https://www.pluralsight.com:443/courses/server-administration-for-comptia-server-plus-sk0-004,Server Administration for CompTIA Server+ (SK0-004),
Rich Bibby,it-networking,Intermediate,1h 58m,https://www.pluralsight.com:443/courses/juniper-networks-jncia-junos-configuration-basics,Juniper Networks JNCIA-Junos: Junos Configuration Basics,
Andrew Mallett,virtualization,Beginner,3h 11m,https://www.pluralsight.com:443/courses/lfcs-linux-virtualization-management,CentOS Enterprise Linux 7 Virtualization Management,
David Davis,virtualization,Intermediate,4h 16m,https://www.pluralsight.com:443/courses/vmware-workstation-9-it-admin,VMware Workstation 9 for the IT Admin,
Jeremy Morgan,it-ops,Intermediate,1h 14m,https://www.pluralsight.com:443/courses/iis-administration-fundamentals,IIS Administration Fundamentals,
David Davis,it-ops,Intermediate,1h 46m,https://www.pluralsight.com:443/courses/vmware-cloud-on-aws-fundamentals,VMware Cloud on AWS Fundamentals,
David Davis,virtualization,Intermediate,1h 47m,https://www.pluralsight.com:443/courses/vmware-vsphere-6-whats-new,What's New in VMware vSphere 6,
Jamie Champagne,business-professional,Beginner,55m,https://www.pluralsight.com:443/courses/cbap-intro-babok-guide-business-analysis-key-terms,Introduction to the BABOK® Guide and Business Analysis Key Terms,
David Davis,virtualization,Beginner,2h 41s,https://www.pluralsight.com:443/courses/fundamentals-server-virtualization,Fundamentals of Server Virtualization,
Frank Celauro,it-ops,Intermediate,2h 25m,https://www.pluralsight.com:443/courses/commvault-core-fundamentals,Commvault® Core Fundamentals,
Craig Stansbury,it-ops,Intermediate,1h 34m,https://www.pluralsight.com:443/courses/cisco-core-security-secure-network-access-visibility-enforcement,"Cisco Core Security: Secure Network Access, Visibility, and Enforcement",
Richard Seroter,cloud-computing,Beginner,51m,https://www.pluralsight.com:443/courses/cloud-native-architecture-big-picture,Cloud-native Architecture: The Big Picture,
Eric Shanks,cloud-computing,Beginner,2h 22m,https://www.pluralsight.com:443/courses/getting-started-vrealize-automation-7,Getting Started with vRealize Automation 7,
David Chappell,cloud-computing,Beginner,1h 4m,https://www.pluralsight.com:443/courses/cloud-computing-big-picture,Cloud Computing: The Big Picture,
Nikola Milanovic,cloud-computing,Advanced,1h 43m,https://www.pluralsight.com:443/courses/microsoft-azure-autoscaling-developing,Microsoft Azure Developer: Developing for Autoscaling,
Barry Luijbregts,cloud-computing,Intermediate,2h 1m,https://www.pluralsight.com:443/courses/azure-design-patterns-data-management-performance,Cloud Design Patterns for Azure: Data Management and Performance,
Google Cloud,cloud-computing,Beginner,1h 46m,https://www.pluralsight.com:443/courses/preparing-google-cloud-associate-cloud-engineer-exam,Preparing for the Google Cloud Associate Cloud Engineer Exam,
Google Cloud,cloud-computing,Intermediate,3h 17m,https://www.pluralsight.com:443/courses/google-cloud-platform-fundamentals-core-infrastructure,Google Cloud Platform Fundamentals - Core Infrastructure,
Troy Hunt,cloud-computing,Beginner,2h 58m,https://www.pluralsight.com:443/courses/ethical-hacking-cloud-computing,Ethical Hacking: Cloud Computing,
Sean Wilkins,cloud-computing,Beginner,1h 15m,https://www.pluralsight.com:443/courses/maintenance-cloud-plus-cv0-002,Maintenance in the Cloud,
David Davis,cloud-computing,Beginner,3h 39m,https://www.pluralsight.com:443/courses/vca-cloud,VMware Certified Associate - Cloud (VCA-Cloud),
